Ticker,forwardPE,sector_Basic Materials,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Real Estate,sector_Technology,sector_Utilities,marketCapLevel_high,marketCapLevel_low,marketCapLevel_mid,growthValueType_growth,growthValueType_neutral,growthValueType_value
EVRG,16.767326,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
BR,25.93262,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
ETR,10.59044,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
VMC,29.229074,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
WAT,26.945475,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
DHI,7.908663,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
CHD,26.63941,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
ANET,9.509764,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
HSY,20.116667,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
XYL,27.016842,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
DGX,18.15625,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
GPC,14.904367,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
TPR,16.735294,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
SNPS,33.569603,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
L,30.434483,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
IT,31.997915,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
CMS,19.569832,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
CBRE,21.988333,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
EMN,9.3022995,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
XPO,27.764174,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
TRU,19.380484,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
AJG,27.811613,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
COO,17.84804,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
CHRW,20.140757,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
FANG,9.979508,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
MGM,14.432609,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
LEN,6.9934945,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
DRI,20.493843,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
URI,15.167093,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
HSIC,13.678846,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
NLY,7.027273,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
CAG,8.343866,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
GDDY,26.509687,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
CF,14.935276,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
KMX,18.096817,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
CDW,17.618578,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
DOV,19.289055,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
EXPD,21.244423,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
TRGP,20.084745,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
WYNN,17.25,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
FTNT,42.19502,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
YUMC,17.41279,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
VNO,-316.07693,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False
CDNS,44.464233,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
